dt_referencia;no_produto;no_tipo;vr_real;vr_dolar
1996-12-16;algodao_8_dias;algodao;88.72;85.4
1996-12-16;cafe_arabica;cafe;126.52;121.78
1996-12-17;cafe_arabica;cafe;128.27;123.34
1996-12-17;algodao_8_dias;algodao;89.13;85.7
1996-12-18;algodao_8_dias;algodao;89.27;85.99
1996-12-18;cafe_arabica;cafe;131.96;127.11
1996-12-19;cafe_arabica;cafe;130.55;125.77
1996-12-19;algodao_8_dias;algodao;88.87;85.62
1996-12-20;cafe_arabica;cafe;131.33;126.51
1996-12-20;algodao_8_dias;algodao;88.78;85.52
1996-12-23;cafe_arabica;cafe;130.38;125.53
1996-12-23;algodao_8_dias;algodao;88.65;85.36
1996-12-26;cafe_arabica;cafe;132.94;127.98
1996-12-26;algodao_8_dias;algodao;88.75;85.44
1996-12-27;cafe_arabica;cafe;136.43;131.16
1996-12-27;algodao_8_dias;algodao;88.48;85.06
1996-12-30;algodao_8_dias;algodao;88.68;85.36
1996-12-30;cafe_arabica;cafe;137.62;132.47
1997-01-02;algodao_8_dias;algodao;88.76;85.4
1997-01-02;cafe_arabica;cafe;138.65;133.41
1997-01-03;cafe_arabica;cafe;141.29;135.9
1997-01-03;algodao_8_dias;algodao;89.56;86.14
1997-01-06;algodao_8_dias;algodao;88.8;85.37
1997-01-06;cafe_arabica;cafe;140.07;134.66
1997-01-07;cafe_arabica;cafe;144.49;138.92
1997-01-07;algodao_8_dias;algodao;88.92;85.49
1997-01-08;cafe_arabica;cafe;148.71;142.88
1997-01-08;algodao_8_dias;algodao;88.95;85.46
1997-01-09;cafe_arabica;cafe;151.82;145.81
1997-01-09;algodao_8_dias;algodao;89.12;85.59
1997-01-10;algodao_8_dias;algodao;89.25;85.74
1997-01-10;cafe_arabica;cafe;152.41;146.42
1997-01-13;cafe_arabica;cafe;151.88;145.8
1997-01-13;algodao_8_dias;algodao;89.36;85.78
1997-01-14;algodao_8_dias;algodao;89.26;85.67
1997-01-14;cafe_arabica;cafe;154.98;148.75
1997-01-15;algodao_8_dias;algodao;89.45;85.83
1997-01-15;cafe_arabica;cafe;156.8;150.45
1997-01-16;algodao_8_dias;algodao;89.6;85.86
1997-01-16;cafe_arabica;cafe;157.64;151.07
1997-01-17;algodao_8_dias;algodao;89.5;85.74
1997-01-17;cafe_arabica;cafe;158.6;151.94
1997-01-20;cafe_arabica;cafe;161.18;154.54
1997-01-20;algodao_8_dias;algodao;89.81;86.11
1997-01-21;cafe_arabica;cafe;162.13;155.43
1997-01-21;algodao_8_dias;algodao;89.65;85.95
1997-01-22;cafe_arabica;cafe;171.66;164.52
1997-01-22;algodao_8_dias;algodao;90.57;86.8
1997-01-23;algodao_8_dias;algodao;90.35;86.57
